Geneid,SSCF31.bam,SSCF32.bam,SSCF33.bam,SSCF38.bam,SSCF39.bam
arl6,52,93,69,91,75
arl6ip1,2791,3664,2368,2829,3652
arl6ip4,4038,5230,3814,4039,5090
arl6ip6,1395,1235,1600,1432,1050
arl8,4627,3971,2907,3040,3788
arl8ba,2132,1695,1974,2100,1406
arl8bb,2855,2739,2472,2036,2206
arl9,47,79,140,82,102
armc10,107,190,187,229,251
armc1,2144,1869,2049,1616,1772
armc1l,648,1179,846,915,935
armc2,18,36,12,20,7
armc5,937,1054,818,986,1109
armc6,975,1021,603,565,811
armc7,549,716,619,712,682
armc8,90,130,59,91,64
armh3,1417,1744,1105,1357,1448
armt1,3597,4424,3694,2884,3902
arnt,1358,1263,1175,1636,1519
arnt2,64,85,88,64,160
arpc2,2002,3047,1251,2083,2063
arpc3,3821,3453,2768,2796,2912
arpc4,5703,4202,5327,3958,4623
arpc5b,2021,2138,1892,1857,1768
arpin,1132,741,1304,308,565
arpp19a,2324,2511,2188,2699,2584
arpp21,6,81,4,7,15
arr3a,1322,1452,993,864,1070
arrb1,199,954,259,888,416
arrb2b,48051,45048,27208,40186,51171
arrdc1b,381,471,287,340,394
arrdc2,267,181,332,186,375
arrdc3a,906,756,960,678,813
arsa,174,259,162,196,198
arsb,581,975,424,630,640
arsh,710,570,624,262,401
arsia,0,0,0,0,1
arsj,97,287,180,709,149
arsk,652,456,630,341,416
arv1,461,316,281,300,329
arvcfa,6,41,6,18,8
arvcfb,253,414,306,336,218
arxa,6,8,16,4,26
asah1b,491,331,368,490,364
asah2,2,0,2,0,2
asap1b,609,717,538,640,608
asap2a,467,650,503,511,851
asap3,410,409,438,294,259
asb10,0,0,0,1,2
asb13a.1,343,436,229,372,346
asb13a.2,220,251,159,126,231
asb13b,20,14,10,16,28
asb16,27,11,18,18,14
asb3,167,238,106,149,225
asb4,2,0,2,0,3
asb5a,1,2,0,6,6
asb6,500,436,471,539,361
asb7,1335,1273,1146,1338,1234
asb8,768,1019,813,920,1013
ascc1,698,755,708,649,564
ascc2,1267,1714,1057,1352,1457
ascc3,166,230,148,192,262
ascl1a,0,0,0,0,0
ascl1b,0,0,0,0,0
asgr1a,0,0,0,2,2
ash1l,1485,1165,925,912,1144
ash2l,1583,1973,1247,2203,1682
asic1b,1473,1374,847,503,1679
asic1c,580,516,388,255,449
asic2,83,126,242,94,151
asic4a,5,9,4,4,17
asip2b,14,2,2,3,6
asl,797,1636,848,760,1059
asmt2,18,12,12,175,14
asmt,84,64,71,36,96
asmtl,599,797,680,681,903
asns,539,616,636,351,505
asnsd1,648,680,410,688,1015
aspa,251,346,322,149,141
aspdh,0,2,2,2,0
aspg,2462,2624,1724,1743,2319
asphd1,0,2,0,0,0
asphd2,674,866,676,718,1037
aspm,1803,1952,1586,1983,2194
aspn,0,0,0,0,0
aspscr1,1959,2638,1537,1933,2052
asrgl1,7,104,19,18,37
ass1,20321,21047,16149,22411,25770
aste1b,660,859,460,587,613
astn1,3314,2062,968,1649,1665
asxl1,2832,3428,1972,2239,3022
asxl2,80,166,40,53,129
asz1,118,229,118,184,157
atad1a,472,494,346,270,504
atad1b,2945,3078,1822,2686,3159
atad2b,2514,2163,2100,2358,2564
atad3,2250,3055,2029,2988,3142
atad5a,380,552,309,368,437
atat1,723,1119,855,893,1017
