Geneid,SSCN43.bam,SSCN44.bam,SSCP22.bam,SSCP26.bam,SSCP28.bam,SSCP29.bam,SSCP30.bam
alg13,756,578,437,1808,710,1199,982
alg14,342,195,461,388,358,497,640
alg2,203,216,306,227,182,131,338
alg3,305,255,518,394,326,466,495
alg5,627,597,1132,895,771,546,1010
alg6,134,62,188,88,199,167,225
alg8,270,190,487,289,287,400,396
alg9,764,1382,593,2705,1061,1016,534
alk,69,492,96,716,103,141,91
alkal1,367,364,148,51,312,76,224
alkal2a,32,56,40,12,44,26,55
alkbh1,119,178,363,198,162,274,351
alkbh2,165,141,508,169,133,268,195
alkbh3,296,236,377,267,270,399,521
alkbh4,245,180,248,240,201,139,400
alkbh5,1678,1209,1922,1805,940,1852,2250
alkbh6,94,124,287,142,129,202,149
alkbh7,161,140,276,201,155,332,344
alkbh8,487,488,741,428,399,656,622
alms1,681,516,988,640,520,553,544
alp3,23,0,4,8,17,29,4
alpi.1,6,4,3,6,10,28,4
alpk1,423,137,575,219,245,238,241
alpk3a,683,454,1862,514,912,504,1083
alpl,1028,799,605,607,441,549,676
als2b,765,643,1335,736,601,1221,864
alx1,196,428,994,210,367,399,603
alx3,41,39,78,33,41,51,21
alx4b,201,96,268,152,149,159,182
alyref,3666,2397,7102,3874,4154,4575,4088
amacr,395,188,438,626,407,472,426
ambp,461,771,1184,762,599,1009,1102
ambra1b,575,393,1598,657,512,872,1037
amd1,2876,1462,2508,3103,2612,1826,2504
amdhd1,3,2,18,3,2,10,7
amdhd2,336,520,475,468,378,363,507
amer2,4,9,0,0,5,3,27
amh,4756,10023,3567,394,3970,648,7397
amigo1,57,33,9,53,63,23,82
ammecr1,1537,627,2238,1989,2057,1411,2150
amot,763,745,1320,1196,574,1118,707
amotl2a,554,88,209,100,314,158,250
ampd1,50,1,4,0,20,6,19
ampd2b,199,7,76,8,40,2,53
ampd3a,1286,2522,158,1250,771,286,207
ampd3b,31,20,24,16,25,17,39
amph,1470,681,2100,1734,670,1679,1180
amt,221,222,278,172,308,452,525
anapc10,427,718,1117,569,685,605,743
anapc11,812,1287,1671,1338,1310,1108,1627
anapc1,1855,3413,2512,3068,1147,1640,1362
anapc13,2164,547,1184,528,1539,1750,1474
anapc15,340,590,731,610,589,686,588
anapc16,497,793,1398,777,783,1174,1033
anapc2,438,380,1077,532,611,773,722
anapc4,462,427,1553,560,462,618,498
anapc5,961,568,1025,752,935,1185,1650
anapc7,1213,1016,2135,1361,1089,1717,1818
and1,2,0,2,0,2,6,11
and2,16,14,118,26,19,53,29
and3,15,165,103,9,331,14,144
angel1,490,224,662,454,362,658,720
angel2,603,119,1374,505,502,967,1006
angpt1,104,6,60,1,180,25,154
angpt2a,12,2,0,10,13,9,29
angpt2b,22,0,10,2,17,14,10
angptl1a,130,63,87,8,46,29,31
angptl2b,23,30,12,16,226,8,58
angptl3,2,1,0,2,0,0,0
angptl4,2198,417,747,378,1947,657,874
angptl6,1225,1901,1473,1109,2238,809,2820
angptl7,86,20,39,28,63,67,12
angptl8,4,10,0,0,0,0,0
ank1a,214,70,95,49,139,81,168
ank1b,14,0,14,9,10,18,3
ank2a,641,221,470,246,196,223,497
ankdd1b,149,334,250,492,395,156,285
ankef1a,271,64,13,120,7,43,2
ankfn1a,643,877,755,1296,469,829,486
ankfn1b,118,59,279,124,158,206,235
ankfy1,1866,753,849,1055,1246,761,1040
ankha,239,1579,1388,754,1295,780,1148
ankhd1,6503,3491,6408,3922,3950,5861,5171
ankk1,38,51,4,10,43,4,50
ankle2,1318,1054,1350,993,992,1417,1420
ankmy1,1305,2429,1634,1700,1038,1226,536
ankmy2a,661,1073,836,830,695,881,1369
ankra2,482,449,1034,745,732,503,466
ankrd10b,915,625,2922,665,957,1262,1282
ankrd11,2956,1335,2698,1985,1581,2053,1927
ankrd12,1983,926,1798,1183,1278,1573,1803
ankrd13a,2240,1096,1731,1889,1377,1528,1642
ankrd13b,690,250,165,52,134,58,418
ankrd13d,1149,866,1521,964,1668,889,1427
ankrd16,78,54,227,86,43,110,105
ankrd22,578,491,482,1026,418,727,562
ankrd24,113,48,83,38,6,64,28
ankrd26,1810,702,3052,1212,1441,1837,2013
ankrd27,454,572,1126,761,550,553,391
ankrd28b,1372,1378,1243,1490,985,835,996
ankrd29,112,115,332,134,133,243,165
ankrd33aa,7,0,12,2,14,0,0
ankrd33ab,0,0,0,0,0,0,0
ankrd33ba,24,46,60,51,38,75,59
ankrd33bb,2,0,10,0,10,8,1
ankrd34c,0,0,0,0,0,6,2
ankrd39,172,304,231,161,180,260,289
ankrd40,520,389,1317,602,598,906,708
ankrd44,548,391,613,151,520,406,655
ankrd49,337,214,312,223,247,257,447
ankrd50,2299,872,1650,991,1497,1946,2143
ankrd52a,2327,1470,3034,2028,2139,2805,3347
ankrd52b,1183,1257,1259,1413,972,1203,977
ankrd54,1025,468,814,939,1029,988,1246
ankrd9,57,62,42,42,31,24,66
anks1ab,402,87,481,404,305,475,571
anks1b,1562,1202,1084,1307,889,955,905
anks3,407,218,848,356,380,464,431
anks4b,80,64,86,94,68,102,337
ankzf1,798,1063,1607,844,961,1279,1913
anln,1234,794,1685,809,1063,2050,1949
ano10b,2451,1491,2468,659,3232,786,1942
ano1a,438,162,188,251,187,168,265
ano2a,391,98,894,392,486,568,375
ano2b,41,16,240,119,113,232,120
ano3,154,131,406,224,205,309,265
ano5a,2013,1237,3827,3306,3500,1421,1634
ano5b,4308,4354,5488,3714,5073,2977,4389
ano6,725,464,1324,332,875,552,733
ano7,172,91,1035,239,189,358,376
ano8a,333,31,87,173,57,65,92
ano8b,99,69,89,47,77,63,91
anos1b,15,8,28,8,29,28,64
anp32a,1125,1219,925,1113,1422,1040,1339
anp32b,3062,1271,2938,2524,3074,2232,3457
anp32e,3802,2101,4697,2334,5094,1859,4397
anpeplb,62,6,1668,60,225,61,21
antkmt,217,479,485,410,385,343,310
antxr1a,87,84,34,52,139,35,119
antxr1c,205,35,980,50,215,198,213
antxr1d,555,122,634,109,705,221,840
antxr2a,465,110,399,213,360,364,550
anxa14,355,6,2993,198,393,36,11
anxa1a,36397,33809,35791,11297,38101,10294,40805
anxa3b,1846,4891,3212,1385,4422,1285,2028
anxa4,2493,3555,8116,2938,4014,1335,2065
anxa5a,190,79,495,112,57,53,313
anxa5b,14682,9748,10524,5735,9322,3513,9681
anxa6,7681,6986,5917,5128,7044,2502,1833
aoc1,88,215,82,84,18,20,136
aoc2,91,68,112,30,149,33,188
aopep,315,214,865,200,284,395,577
ap1ar,2606,4611,6916,4780,4470,2003,3924
ap1b1,2575,1488,1964,2132,2430,1768,2266
ap1g1,1754,1541,2998,1669,2396,2072,2459
ap1g2,1066,651,1610,1059,1257,1076,1170
ap1m1,636,859,1207,1030,1343,973,1460
ap1m2,357,205,1270,394,768,311,639
ap1m3,508,174,2164,344,825,121,267
ap1s3a,6,2,0,4,5,46,534
ap1s3b,771,1234,956,906,809,647,769
ap2a1,3147,2788,3761,2996,3866,3669,3968
ap2s1,1250,1361,1954,2209,2291,1404,1847
ap3b1a,818,571,1155,859,676,641,1210
ap3d1,3627,2671,2188,3061,2350,2136,2503
ap3m1,1022,1066,884,1228,749,784,882
ap3m2,620,176,312,449,547,849,1082
ap3s2,2166,2252,1527,2327,1800,1559,1342
ap4b1,620,350,467,402,911,476,618
ap4e1,899,674,1095,792,720,818,767
ap4m1,238,223,814,280,312,339,416
ap4s1,833,1088,1242,1309,930,1037,951
ap5b1,432,366,741,465,476,409,649
ap5m1,765,825,713,608,694,457,698
ap5s1,248,52,110,125,119,93,220
ap5z1,297,214,394,258,313,344,342
apaf1,498,228,1225,446,931,412,727
apba1b,364,232,565,294,337,871,785
apba2a,64,32,72,59,43,64,126
apba2b,80,52,148,49,38,74,105
apbb1,1494,1091,1713,1227,1284,1382,1664
apbb1ip,263,212,498,137,313,102,87
apbb2b,1939,2117,2648,772,1535,768,2165
apbb3,10,11,50,19,23,64,24
apc2,590,726,1401,1175,610,1268,1029
apc,566,298,2047,520,471,927,829
apcdd1l,90,438,14,104,304,8,216
apeh,2750,2450,2611,2789,2282,2035,2116
apex1,789,802,1087,783,1062,984,1314
